Title,Author,Year,Journal,Abstract
Flexible In–Ga–Zn–O-Based Circuits With Two and Three Metal Layers: Simulation and Fabrication Study,G. Cantarella;K. Ishida;L. Petti;N. Münzenrieder;T. Meister;R. Shabanpour;C. Carta;F. Ellinger;G. Tröster;G. A. Salvatore, 2016,IEEE Electron Device Letters,"The quest for high-performance flexible circuits call for scaling of the minimum feature size in thin-film transistors (TFTs). Although reduced channel lengths can guarantee an improvement in the electrical properties of the devices, proper design rules also play a crucial role to minimize parasitics when designing fast circuits. In this letter, systematic computer-aided design simulat..."
2.5 V 43–45 Gb/s CDR Circuit and 55 Gb/s PRBS Generator in SiGe Using a Low-Voltage Logic Family,D. Kucharski;K.T. Kornegay, 2006,IEEE Journal of Solid-State Circuits,"An alternative design approach for implementing high-speed digital and mixed-signal circuits is proposed. It is based on a family of low-voltage logic gates with reduced transistor stacking compared to series-gated emitter-coupled logic. It includes a latch, an XOR gate, and a MUX with mutually compatible interfaces. Topologies and characteristics of the individual gates are discussed. Close..."
SiGe driver circuit with high output amplitude operating up to 23 Gb/s,R. Schmid;T.F. Meister;M. Rest;H.-M. Rein, 1999,IEEE Journal of Solid-State Circuits,"A high-speed driver circuit is presented with special regard to layout aspects. The IC, which was fabricated in an advanced SiGe bipolar technology, was developed for driving external modulators in a 20 Gb/s fiber-optic time division multiplex transmission system but can also be used as an output stage of multipurpose pulse generators. Measurements on mounted chips show clear eye diagrams up..."
Forming damped LRC parasitic circuits in simultaneously switched CMOS output buffers,T.J. Cabara;W.C. Fischer;J. Harrington;W.W. Troutman, 1997,IEEE Journal of Solid-State Circuits,"Several techniques to reduce the ground bounce effect in CMOS chips are described. The effective width of the predrive and final driver of a CMOS output buffer is automatically adjusted to compensate for process, voltage, and temperature (PVT) variations. The slew rate of the predrive nodes is controlled by introducing a digitally weighted capacitance. Finally, a compensated active resistance is i..."
ISAAC: a symbolic simulator for analog integrated circuits,G.G.E. Gielen;H.C.C. Walscharts;W.M.C. Sansen, 1989,IEEE Journal of Solid-State Circuits,"The symbolic simulator ISAAC (interactive symbolic analysis of analog circuits) is presented. The program derives all AC characteristics for any analog integrated circuit (time-continuous and switched-capacitor, CMOS, JFET, and bipolar) as symbolic expressions in the circuit parameters. This yields analytic formulas for transfer functions, CMRR (common-mode rejection ratio), PSRR..."
Advanced integrated-circuit reliability simulation including dynamic stress effects,W.-J. Hsu;B.J. Sheu;S.M. Gowda;C.-G. Hwang, 1992,IEEE Journal of Solid-State Circuits,"A systematic approach to predict semiconductor degradation effects using reliability simulation is described. The DC degradation monitor is first extracted during transient circuit simulation. An AC degradation factor is then used to determine circuit performance degradation. By using these techniques on the design of CMOS components, proper long-term reliability can be achieved for hi..."
A GaAs MESFET Schottky diode barrier height reference circuit,S.S. Taylor, 1997,IEEE Journal of Solid-State Circuits,"A barrier height reference voltage has been implemented with Schottky diodes in GaAs MESFET technology. It achieves less than 100 ppm//spl deg/C drift and can be used to create a reference voltage for source coupled logic, data converters, and as the basis for a variety of biasing circuits. Moderate accuracy is achieved with a circuit topology that reduces the ratio of control amplifie..."
Logic synthesis of multilevel circuits with concurrent error detection,N.A. Touba;E.J. McCluskey, 1997,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"This paper presents a procedure for synthesizing multilevel circuits with concurrent error detection. All errors caused by single stuck-at faults are detected using a parity-check code. The synthesis procedure (implemented in Stanford CRCs TOPS synthesis system) fully automates the design process, and reduces the cost of concurrent error detection compared with previous methods. An algorithm..."
Integrated circuit signal measurements using an undersampling approach,R. Mason;B. Simon;K. Runtz, 1998,IEEE Transactions on Circuits and Systems II: Analog and Digital Signal Processing,"Integrated circuit (IC) manufacturing processes have been successful in introducing complex high-speed analog and mixed-signal devices. Testing these devices is becoming increasingly difficult. The paper presents a novel method of analyzing analog IC's using periodic input stimuli and wideband undersampling. In its simplest form, the testing procedure can be implemented in a design by adding..."
Practical modeling for circuit simulation,C.C. McAndrew, 1998,IEEE Journal of Solid-State Circuits,"There is much more to modeling for circuit simulation than deriving a set of I(V), and perhaps Q(V), equations and extracting a SPICE MODEL card. Unfortunately, some practical aspects of modeling are often overlooked. This paper details common-sense guidelines for modeling and highlights common modeling problems. Particular emphasis is given on understanding accuracy requirements and numeric..."
A monolithic transformer coupled 5-W silicon power amplifier with 59% PAE at 0.9 GHz,W. Simburger;H.-D. Wohlmuth;P. Weger;A. Heinz, 1999,IEEE Journal of Solid-State Circuits,This paper presents the circuit design and application of a monolithically integrated silicon radio-frequency power amplifier for 0.8-1 GHz. The chip is fabricated in a 25-GHz-f/sub T/ silicon bipolar production technology (Siemens B6HF). A maximum output power of 5 W and maximum efficiency of 59% is achieved. The chip is operating from 2.5 to 4.5 V. The linear gain is 36 dB. The balanced tw...
Circuit techniques in a 266-MHz MMX-enabled processor,D. Draper;M. Crowley;J. Holst;G. Favor;A. Schoy;J. Trull;A. Ben-Meir;R. Khanna;D. Wendell;R. Krishna;J. Nolan;D. Mallick;H. Partovi;M. Roberts;M. Johnson;T. Lee, 1997,IEEE Journal of Solid-State Circuits,"The AMD-K6 MMX-enabled processor is plug-compatible with the industry-standard Socket 7 and is binary compatible with the existing base of legacy X86 software. The microarchitecture is based on an out-of-order, superscalar execution engine using speculative execution. High performance and compact die size are achieved by using self-resetting, self-timed and pulsed-latch circuit design techni..."
A fully differential comparator using a switched-capacitor differencing circuit with common-mode rejection,T. Shih;L. Der;S.H. Lewis;P.J. Hurst, 1997,IEEE Journal of Solid-State Circuits,"A fully differential comparator is described. It uses a switched-capacitor differencing circuit that provides common-mode rejection. The comparator has been tested by building a 3-b flash analog-to-digital converter (ADC) in a 2-/spl mu/m CMOS process. With a supply voltage of 3.3 V, a sampling rate of 25 MHz, and full-scale sinusoidal inputs up to 7 MHz, the signal-to-distortion ratio of th..."
